sample,Tree,Latitude,Longitude
A22T141.5_11,A22T141,51.445398,-0.2580496
A22T141.5_12,A22T141,51.445398,-0.2580496
A22T141.5_13,A22T141,51.445398,-0.2580496
A22T141.5_14,A22T141,51.445398,-0.2580496
A22T141.5_15,A22T141,51.445398,-0.2580496
A22T141.5_16,A22T141,51.445398,-0.2580496
A22T141.5_17,A22T141,51.445398,-0.2580496
A22T141.5_18,A22T141,51.445398,-0.2580496
A22T141.5_19,A22T141,51.445398,-0.2580496
A22T141.5_2,A22T141,51.445398,-0.2580496
A22T141.5_3,A22T141,51.445398,-0.2580496
A22T141.5_4,A22T141,51.445398,-0.2580496
A22T141.5_5,A22T141,51.445398,-0.2580496
A22T141.5_6,A22T141,51.445398,-0.2580496
A22T141.5_7,A22T141,51.445398,-0.2580496
A22T141.5_8,A22T141,51.445398,-0.2580496
A22T141.5_9,A22T141,51.445398,-0.2580496
A22T141.6_1,A22T141,51.445398,-0.2580496
A22T141.6_10,A22T141,51.445398,-0.2580496
A22T141.6_11,A22T141,51.445398,-0.2580496
A22T141.6_12,A22T141,51.445398,-0.2580496
A22T141.6_13,A22T141,51.445398,-0.2580496
A22T141.6_14,A22T141,51.445398,-0.2580496
A22T141.6_15,A22T141,51.445398,-0.2580496
A22T141.6_2,A22T141,51.445398,-0.2580496
A22T141.6_3,A22T141,51.445398,-0.2580496
A22T141.6_4,A22T141,51.445398,-0.2580496
A22T141.6_5,A22T141,51.445398,-0.2580496
A22T141.6_6,A22T141,51.445398,-0.2580496
A22T141.6_7,A22T141,51.445398,-0.2580496
A22T141.6_8,A22T141,51.445398,-0.2580496
A22T141.6_9,A22T141,51.445398,-0.2580496
A22T141.7_1,A22T141,51.445398,-0.2580496
A22T141.7_10,A22T141,51.445398,-0.2580496
A22T141.7_11,A22T141,51.445398,-0.2580496
A22T141.7_12,A22T141,51.445398,-0.2580496
A22T141.7_2,A22T141,51.445398,-0.2580496
A22T141.7_3,A22T141,51.445398,-0.2580496
A22T141.7_4,A22T141,51.445398,-0.2580496
A22T141.7_5,A22T141,51.445398,-0.2580496
A22T141.7_6,A22T141,51.445398,-0.2580496
A22T141.7_7,A22T141,51.445398,-0.2580496
A22T141.7_8,A22T141,51.445398,-0.2580496
A22T141.7_9,A22T141,51.445398,-0.2580496
A31T104.1_1,A31T104,51.42682,-0.27817535
A31T104.2_2,A31T104,51.42682,-0.27817535
A31T104.3_1,A31T104,51.42682,-0.27817535
A31T104.3_10,A31T104,51.42682,-0.27817535
A31T104.3_100,A31T104,51.42682,-0.27817535
A31T104.3_101,A31T104,51.42682,-0.27817535
A31T104.3_102,A31T104,51.42682,-0.27817535
A31T104.3_103,A31T104,51.42682,-0.27817535
A31T104.3_104,A31T104,51.42682,-0.27817535
A31T104.3_105,A31T104,51.42682,-0.27817535
A31T104.3_106,A31T104,51.42682,-0.27817535
A31T104.3_107,A31T104,51.42682,-0.27817535
A31T104.3_108,A31T104,51.42682,-0.27817535
A31T104.3_109,A31T104,51.42682,-0.27817535
A31T104.3_11,A31T104,51.42682,-0.27817535
A31T104.3_110,A31T104,51.42682,-0.27817535
A31T104.3_111,A31T104,51.42682,-0.27817535
A31T104.3_112,A31T104,51.42682,-0.27817535
A31T104.3_113,A31T104,51.42682,-0.27817535
A31T104.3_114,A31T104,51.42682,-0.27817535
A31T104.3_115,A31T104,51.42682,-0.27817535
A31T104.3_116,A31T104,51.42682,-0.27817535
A31T104.3_117,A31T104,51.42682,-0.27817535
A31T104.3_118,A31T104,51.42682,-0.27817535
A31T104.3_119,A31T104,51.42682,-0.27817535
A31T104.3_12,A31T104,51.42682,-0.27817535
A31T104.3_120,A31T104,51.42682,-0.27817535
A31T104.3_121,A31T104,51.42682,-0.27817535
A31T104.3_122,A31T104,51.42682,-0.27817535
A31T104.3_123,A31T104,51.42682,-0.27817535
A31T104.3_13,A31T104,51.42682,-0.27817535
A31T104.3_14,A31T104,51.42682,-0.27817535
A31T104.3_15,A31T104,51.42682,-0.27817535
A31T104.3_16,A31T104,51.42682,-0.27817535
A31T104.3_17,A31T104,51.42682,-0.27817535
A31T104.3_18,A31T104,51.42682,-0.27817535
A31T104.3_19,A31T104,51.42682,-0.27817535
A31T104.3_2,A31T104,51.42682,-0.27817535
A31T104.3_20,A31T104,51.42682,-0.27817535
A31T104.3_21,A31T104,51.42682,-0.27817535
A31T104.3_22,A31T104,51.42682,-0.27817535
A31T104.3_23,A31T104,51.42682,-0.27817535
A31T104.3_24,A31T104,51.42682,-0.27817535
A31T104.3_25,A31T104,51.42682,-0.27817535
A31T104.3_26,A31T104,51.42682,-0.27817535
A31T104.3_27,A31T104,51.42682,-0.27817535
A31T104.3_28,A31T104,51.42682,-0.27817535
A31T104.3_29,A31T104,51.42682,-0.27817535
A31T104.3_3,A31T104,51.42682,-0.27817535
A31T104.3_30,A31T104,51.42682,-0.27817535
A31T104.3_31,A31T104,51.42682,-0.27817535
A31T104.3_32,A31T104,51.42682,-0.27817535
A31T104.3_33,A31T104,51.42682,-0.27817535
A31T104.3_34,A31T104,51.42682,-0.27817535
A31T104.3_35,A31T104,51.42682,-0.27817535
A31T104.3_36,A31T104,51.42682,-0.27817535
A31T104.3_37,A31T104,51.42682,-0.27817535
A31T104.3_38,A31T104,51.42682,-0.27817535
A31T104.3_39,A31T104,51.42682,-0.27817535
A31T104.3_4,A31T104,51.42682,-0.27817535
A31T104.3_40,A31T104,51.42682,-0.27817535
A31T104.3_41,A31T104,51.42682,-0.27817535
A31T104.3_42,A31T104,51.42682,-0.27817535
A31T104.3_43,A31T104,51.42682,-0.27817535
A31T104.3_44,A31T104,51.42682,-0.27817535
A31T104.3_45,A31T104,51.42682,-0.27817535
A31T104.3_46,A31T104,51.42682,-0.27817535
A31T104.3_47,A31T104,51.42682,-0.27817535
A31T104.3_48,A31T104,51.42682,-0.27817535
A31T104.3_49,A31T104,51.42682,-0.27817535
A31T104.3_5,A31T104,51.42682,-0.27817535
A31T104.3_50,A31T104,51.42682,-0.27817535
A31T104.3_51,A31T104,51.42682,-0.27817535
A31T104.3_52,A31T104,51.42682,-0.27817535
A31T104.3_53,A31T104,51.42682,-0.27817535
A31T104.3_54,A31T104,51.42682,-0.27817535
A31T104.3_55,A31T104,51.42682,-0.27817535
A31T104.3_56,A31T104,51.42682,-0.27817535
A31T104.3_57,A31T104,51.42682,-0.27817535
A31T104.3_58,A31T104,51.42682,-0.27817535
A31T104.3_59,A31T104,51.42682,-0.27817535
A31T104.3_6,A31T104,51.42682,-0.27817535
A31T104.3_60,A31T104,51.42682,-0.27817535
A31T104.3_61,A31T104,51.42682,-0.27817535
A31T104.3_62,A31T104,51.42682,-0.27817535
A31T104.3_63,A31T104,51.42682,-0.27817535
A31T104.3_64,A31T104,51.42682,-0.27817535
A31T104.3_65,A31T104,51.42682,-0.27817535
A31T104.3_66,A31T104,51.42682,-0.27817535
A31T104.3_67,A31T104,51.42682,-0.27817535
A31T104.3_68,A31T104,51.42682,-0.27817535
A31T104.3_69,A31T104,51.42682,-0.27817535
A31T104.3_7,A31T104,51.42682,-0.27817535
A31T104.3_70,A31T104,51.42682,-0.27817535
A31T104.3_71,A31T104,51.42682,-0.27817535
A31T104.3_72,A31T104,51.42682,-0.27817535
A31T104.3_73,A31T104,51.42682,-0.27817535
A31T104.3_74,A31T104,51.42682,-0.27817535
A31T104.3_75,A31T104,51.42682,-0.27817535
A31T104.3_76,A31T104,51.42682,-0.27817535
A31T104.3_77,A31T104,51.42682,-0.27817535
A31T104.3_78,A31T104,51.42682,-0.27817535
A31T104.3_79,A31T104,51.42682,-0.27817535
A31T104.3_8,A31T104,51.42682,-0.27817535
A31T104.3_80,A31T104,51.42682,-0.27817535
A31T104.3_81,A31T104,51.42682,-0.27817535
A31T104.3_82,A31T104,51.42682,-0.27817535
A31T104.3_83,A31T104,51.42682,-0.27817535
A31T104.3_84,A31T104,51.42682,-0.27817535
A31T104.3_85,A31T104,51.42682,-0.27817535
A31T104.3_86,A31T104,51.42682,-0.27817535
A31T104.3_87,A31T104,51.42682,-0.27817535
A31T104.3_88,A31T104,51.42682,-0.27817535
A31T104.3_89,A31T104,51.42682,-0.27817535
A31T104.3_9,A31T104,51.42682,-0.27817535
A31T104.3_90,A31T104,51.42682,-0.27817535
A31T104.3_91,A31T104,51.42682,-0.27817535
A31T104.3_92,A31T104,51.42682,-0.27817535
A31T104.3_93,A31T104,51.42682,-0.27817535
A31T104.3_94,A31T104,51.42682,-0.27817535
A31T104.3_95,A31T104,51.42682,-0.27817535
A31T104.3_96,A31T104,51.42682,-0.27817535
A31T104.3_97,A31T104,51.42682,-0.27817535
A31T104.3_98,A31T104,51.42682,-0.27817535
A31T104.3_99,A31T104,51.42682,-0.27817535
A31T186.1_1,A31T186,51.423329,-0.28414626
A31T186.1_10,A31T186,51.423329,-0.28414626
A31T186.1_11,A31T186,51.423329,-0.28414626
A31T186.1_12,A31T186,51.423329,-0.28414626
A31T186.1_13,A31T186,51.423329,-0.28414626
A31T186.1_14,A31T186,51.423329,-0.28414626
A31T186.1_15,A31T186,51.423329,-0.28414626
A31T186.1_16,A31T186,51.423329,-0.28414626
A31T186.1_17,A31T186,51.423329,-0.28414626
A31T186.1_18,A31T186,51.423329,-0.28414626
A31T186.1_19,A31T186,51.423329,-0.28414626
A31T186.1_2,A31T186,51.423329,-0.28414626
A31T186.1_20,A31T186,51.423329,-0.28414626
A31T186.1_21,A31T186,51.423329,-0.28414626
A31T186.1_22,A31T186,51.423329,-0.28414626
A31T186.1_23,A31T186,51.423329,-0.28414626
A31T186.1_24,A31T186,51.423329,-0.28414626
A31T186.1_25,A31T186,51.423329,-0.28414626
A31T186.1_26,A31T186,51.423329,-0.28414626
A31T186.1_27,A31T186,51.423329,-0.28414626
A31T186.1_28,A31T186,51.423329,-0.28414626
A31T186.1_29,A31T186,51.423329,-0.28414626
A31T186.1_3,A31T186,51.423329,-0.28414626
A31T186.1_30,A31T186,51.423329,-0.28414626
